datetime,temp,humidity,precip,preciptype,windspeedmean,cloudcover
2025-02-10,3.8,81.5,1.54,rain,16.2,89
2025-02-11,2.2,87.8,5.985,"rain,snow",9.5,81.3
2025-02-12,2.5,92.4,21.407,"rain,snow",11.1,80.1
2025-02-13,5.3,77.6,3.007,rain,6.4,50.8
2025-02-14,7.2,70.9,0.044,rain,5.1,75.5
2025-02-15,9.4,79.3,2.462,rain,8.3,88.2
2025-02-16,7.3,92.2,2.303,rain,13,89.9
2025-02-17,5.6,93,9.602,rain,17.2,90
2025-02-18,5.4,83.4,4.868,rain,19.3,89.2
2025-02-19,3.1,85.6,14.06,"rain,snow",16.7,84.5
2025-02-20,1.5,77.8,3.024,"rain,snow",17.6,85
2025-02-21,0.4,83.7,7.528,"rain,snow",14,79.8
2025-02-22,-0.1,84.7,2.173,"rain,snow",13.1,80.3
2025-02-23,-0.4,84.3,1.227,"rain,snow",5,73.1
2025-02-24,1,71.2,0.641,"rain,snow",4.4,27.8
2025-02-25,3.6,75.7,0,,4.9,42.7
2025-02-26,6.2,78.6,0,,3.2,35
2025-02-27,8.9,74.9,0,,3.3,79.6
2025-02-28,9.4,77,0,,13.8,84.9
2025-03-01,7.4,79.3,0.119,rain,11.8,40.7
2025-03-02,7.1,83.9,0.367,rain,9.6,65.5
2025-03-03,6.2,81,2.562,rain,16.7,85.9
2025-03-04,6.1,73.8,0.043,rain,19.6,67.7
2025-03-05,6.4,74.3,0,,14.5,9.8
2025-03-06,6.9,74.1,0,,8.2,28.3
2025-03-07,7.2,63,0,,12.9,18.6
2025-03-08,7.6,86.2,0,,11.9,46.9
2025-03-09,8.3,86.1,0,,6.6,46.6
2025-03-10,10.4,77.8,0,,4.3,0.6
2025-03-11,14,63.8,0,,7.6,27.9
2025-03-12,16.9,53.6,0,,8.5,67.2
2025-03-13,18.5,46.2,0,,6.4,66.1
2025-03-14,19.2,43.6,0,,7,28.4
2025-03-15,18.9,52.8,0,,5.7,51.4
2025-03-16,21.5,40.7,0,,8.1,56.8
2025-03-17,13.8,71.9,0.175,rain,11.5,70.5
2025-03-18,6.4,88.3,12.173,rain,20.9,89.3
2025-03-19,5.1,58.6,1.092,rain,24,72.7
2025-03-20,6.1,75,1.34,rain,9.5,83.6
2025-03-21,7.5,70.2,0.264,rain,8.4,52.7
2025-03-22,7.3,67,0,,6.8,9
2025-03-23,11,59.1,0,,4.6,54.9
2025-03-24,14.6,64.2,0.176,rain,9.1,87.2
2025-03-25,16.3,52.7,0,,7.5,70.4
2025-03-26,15.5,63.1,0,,3.9,73.7
2025-03-27,14.4,62.1,0,,10.4,69.2
2025-03-28,12.8,76.3,0.99,rain,19.6,92.8
2025-03-29,13,85,3.492,rain,4.9,70.3
2025-03-30,12,82.9,0.048,rain,8.4,77.5
2025-03-31,12.3,82.7,1.674,rain,9,75.1
2025-04-01,11.3,88.8,2.12,rain,13.5,86.4
2025-04-02,10.2,92.3,0.348,rain,13.4,85.7
2025-04-03,10.9,86.9,0.212,rain,5.5,84
2025-04-04,11,78.7,0,,8.8,35.4
2025-04-05,10.5,87,0,,6.8,60
2025-04-06,11.6,80.6,3.636,rain,14.9,64.5
2025-04-07,5.9,90.7,16.553,rain,18.9,89.4
2025-04-08,6.3,71.5,0.879,rain,15.5,73.3
2025-04-09,7.2,59.8,0.012,rain,11.4,80.8
2025-04-10,9,67.2,0.291,rain,10.4,58
2025-04-11,5.9,56.7,3.634,rain,14.3,66
2025-04-12,7.8,69.1,3.004,rain,11.1,75.3
2025-04-13,7.7,72.8,0.599,rain,6.7,17.4
2025-04-14,9.3,67.6,0,,11.6,44.6
2025-04-15,10.6,69.6,0,,13.2,23.4
2025-04-16,12.7,65.2,0,,11.1,16.9
2025-04-17,12.6,75.5,0,,16.4,18.3
2025-04-18,11.6,82.7,0,,15.7,52.5
2025-04-19,10.6,88.1,0,,9.9,68.3
2025-04-20,12,81,0,,5.9,47.7
2025-04-21,13.1,76.2,0,,7.3,1.5
2025-04-22,12.5,76.3,0,,18.2,41.7
2025-04-23,12.2,78.5,0,,24.6,63.8
2025-04-24,11.1,81.8,0,,21.9,88
